"accident_index","accident_year","accident_reference","location_easting_osgr","location_northing_osgr","longitude","latitude","police_force","accident_severity","number_of_vehicles","number_of_casualties","date","day_of_week","time","local_authority_district","local_authority_ons_district","local_authority_highway","first_road_class","first_road_number","road_type","speed_limit","junction_detail","junction_control","second_road_class","second_road_number","pedestrian_crossing_human_control","pedestrian_crossing_physical_facilities","light_conditions","weather_conditions","road_surface_conditions","special_conditions_at_site","carriageway_hazards","urban_or_rural_area","did_police_officer_attend_scene_of_accident","trunk_road_flag","lsoa_of_accident_location","datetime"
"2017067385992",2017,"067385992",380589,385773,"-2.293184","53.368478","Greater Manchester","Slight",2,2,2017-11-30,"Thursday",16:12:00,"Manchester","E08000003","E08000003","Motorway",NA,"Dual carriageway",70,"Not at junction or within 20 metres","Data missing or out of range",NA,"Unknown","None within 50 metres","No physical crossing facilities within 50 metres","Darkness - no lighting","Fine no high winds","Dry","None","None","Urban","Yes","Trunk (Roads managed by Highways England)","E01005316",2017-11-30 16:12:00
"201706A020801",2017,"06A020801",389088,402721,"-2.166049","53.52106","Greater Manchester","Serious",1,1,2017-01-25,"Wednesday",08:50:00,"Manchester","E08000003","E08000003","C","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","Single carriageway",40,"Crossroads","Auto traffic signal","A",NA,"None within 50 metres","No physical crossing facilities within 50 metres","Daylight","Fine no high winds","Wet or damp","None","None","Urban","Yes","Non-trunk","E01005251",2017-01-25 08:50:00
"201706A021700",2017,"06A021700",384814,401800,"-2.230466","53.512674","Greater Manchester","Slight",2,3,2017-02-08,"Wednesday",17:45:00,"Manchester","E08000003","E08000003","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","Single carriageway",30,"T or staggered junction","Auto traffic signal","C","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","None within 50 metres","Pedestrian phase at traffic signal junction","Darkness - lights lit","Fine no high winds","Dry","None","None","Urban","No","Non-trunk","E01005167",2017-02-08 17:45:00
"201706A024723",2017,"06A024723",387787,402908,"-2.185679","53.522711","Greater Manchester","Fatal",1,1,2017-01-05,"Thursday",17:57:00,"Manchester","E08000003","E08000003","C","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","Single carriageway",30,"T or staggered junction","Give way or uncontrolled","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","None within 50 metres","No physical crossing facilities within 50 metres","Darkness - lights lit","Fine no high winds","Dry","None","None","Urban","Yes","Non-trunk","E01033687",2017-01-05 17:57:00
"201706A025025",2017,"06A025025",385576,400666,"-2.218923","53.502503","Greater Manchester","Slight",1,1,2017-01-02,"Monday",14:15:00,"Manchester","E08000003","E08000003","A",NA,"One way street",30,"Crossroads","Auto traffic signal","A",NA,"None within 50 metres","Pedestrian phase at traffic signal junction","Daylight","Fine no high winds","Wet or damp","None","None","Urban","Yes","Non-trunk","E01005203",2017-01-02 14:15:00
"201706A025555",2017,"06A025555",383604,398004,"-2.248513","53.478518","Greater Manchester","Slight",2,1,2017-01-01,"Sunday",23:30:00,"Manchester","E08000003","E08000003","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","Single carriageway",20,"T or staggered junction","Give way or uncontrolled","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","None within 50 metres","No physical crossing facilities within 50 metres","Darkness - lights lit","Fine no high winds","Dry","None","None","Urban","No","Non-trunk","E01033677",2017-01-01 23:30:00
"201706A025618",2017,"06A025618",384831,397478,"-2.23","53.473827","Greater Manchester","Slight",2,3,2017-01-03,"Tuesday",11:35:00,"Manchester","E08000003","E08000003","A",NA,"Dual carriageway",30,"More than 4 arms (not roundabout)","Auto traffic signal","A(M)",NA,"None within 50 metres","Pedestrian phase at traffic signal junction","Daylight","Fine + high winds","Wet or damp","None","None","Urban","Yes","Non-trunk","E01005066",2017-01-03 11:35:00
"201706A025646",2017,"06A025646",384212,399908,"-2.239448","53.49565","Greater Manchester","Slight",2,3,2017-01-06,"Friday",01:05:00,"Manchester","E08000003","E08000003","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","Single carriageway",30,"Crossroads","Give way or uncontrolled","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","None within 50 metres","No physical crossing facilities within 50 metres","Darkness - lights lit","Fine no high winds","Dry","None","None","Urban","Yes","Non-trunk","E01005147",2017-01-06 01:05:00
"201706A025665",2017,"06A025665",384122,398255,"-2.240721","53.48079","Greater Manchester","Slight",2,1,2017-01-08,"Sunday",16:50:00,"Manchester","E08000003","E08000003","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","One way street",20,"Crossroads","Stop sign","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","None within 50 metres","No physical crossing facilities within 50 metres","Darkness - lights lit","Fine no high winds","Dry","None","None","Urban","Yes","Non-trunk","E01033658",2017-01-08 16:50:00
"201706A025738",2017,"06A025738",383648,398255,"-2.247863","53.480776","Greater Manchester","Slight",2,1,2017-01-01,"Sunday",01:00:00,"Manchester","E08000003","E08000003","A",NA,"Single carriageway",30,"Crossroads","Auto traffic signal","A",NA,"None within 50 metres","Pedestrian phase at traffic signal junction","Darkness - lights lit","Raining no high winds","Wet or damp","None","None","Urban","No","Non-trunk","E01033658",2017-01-01 01:00:00
"201706A025806",2017,"06A025806",384831,397519,"-2.230002","53.474196","Greater Manchester","Slight",1,1,2017-01-10,"Tuesday",17:20:00,"Manchester","E08000003","E08000003","A",NA,"Slip road",30,"Crossroads","Auto traffic signal","A(M)",NA,"None within 50 metres","Pedestrian phase at traffic signal junction","Darkness - lights lit","Raining no high winds","Wet or damp","None","None","Urban","Yes","Non-trunk","E01033654",2017-01-10 17:20:00
"201706A025814",2017,"06A025814",389143,395957,"-2.164984","53.460263","Greater Manchester","Slight",2,1,2017-01-10,"Tuesday",13:05:00,"Manchester","E08000003","E08000003","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","Single carriageway",30,"Not at junction or within 20 metres","Data missing or out of range",NA,"Unknown","None within 50 metres","No physical crossing facilities within 50 metres","Daylight","Raining no high winds","Wet or damp","None","None","Urban","Yes","Non-trunk","E01005192",2017-01-10 13:05:00
"201706A025816",2017,"06A025816",384275,398455,"-2.238425","53.482592","Greater Manchester","Slight",1,1,2017-01-11,"Wednesday",11:40:00,"Manchester","E08000003","E08000003","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","Single carriageway",20,"T or staggered junction","Give way or uncontrolled","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","None within 50 metres","No physical crossing facilities within 50 metres","Daylight","Fine no high winds","Dry","None","None","Urban","Yes","Non-trunk","E01033658",2017-01-11 11:40:00
"201706A025823",2017,"06A025823",384158,399030,"-2.240217","53.487757","Greater Manchester","Slight",1,1,2017-01-08,"Sunday",05:50:00,"Manchester","E08000003","E08000003","A",NA,"Dual carriageway",30,"Crossroads","Auto traffic signal","A",NA,"None within 50 metres","Pedestrian phase at traffic signal junction","Darkness - lights lit","Fine no high winds","Wet or damp","None","None","Urban","Yes","Non-trunk","E01033658",2017-01-08 05:50:00
"201706A025825",2017,"06A025825",384927,396041,"-2.228484","53.460914","Greater Manchester","Slight",2,1,2017-01-31,"Tuesday",09:00:00,"Manchester","E08000003","E08000003","B",NA,"Single carriageway",30,"T or staggered junction","Give way or uncontrolled","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","None within 50 metres","No physical crossing facilities within 50 metres","Daylight","Raining no high winds","Wet or damp","None","None","Urban","Yes","Non-trunk","E01005209",2017-01-31 09:00:00
"201706A025829",2017,"06A025829",384197,398412,"-2.239598","53.482203","Greater Manchester","Slight",2,1,2017-01-09,"Monday",17:00:00,"Manchester","E08000003","E08000003","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","Single carriageway",20,"T or staggered junction","Auto traffic signal","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","None within 50 metres","Pedestrian phase at traffic signal junction","Darkness - lights lit","Other","Dry","None","None","Urban","No","Non-trunk","E01033658",2017-01-09 17:00:00
"201706A025848",2017,"06A025848",387974,396200,"-2.182599","53.462422","Greater Manchester","Slight",2,1,2017-01-29,"Sunday",00:58:00,"Manchester","E08000003","E08000003","C","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","Single carriageway",30,"Not at junction or within 20 metres","Data missing or out of range",NA,"Unknown","None within 50 metres","No physical crossing facilities within 50 metres","Darkness - lights lit","Other","Wet or damp","None","None","Urban","Yes","Non-trunk","E01005201",2017-01-29 00:58:00
"201706A025873",2017,"06A025873",386737,399252,"-2.20136","53.489824","Greater Manchester","Slight",2,4,2017-01-13,"Friday",14:35:00,"Manchester","E08000003","E08000003","A",NA,"Dual carriageway",30,"T or staggered junction","Auto traffic signal","C","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","None within 50 metres","Pedestrian phase at traffic signal junction","Daylight","Fine + high winds","Wet or damp","None","None","Urban","Yes","Non-trunk","E01005257",2017-01-13 14:35:00
"201706A025882",2017,"06A025882",388964,400034,"-2.167824","53.496905","Greater Manchester","Serious",2,1,2017-01-13,"Friday",14:13:00,"Manchester","E08000003","E08000003","C","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","Single carriageway",30,"T or staggered junction","Give way or uncontrolled","C","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","None within 50 metres","No physical crossing facilities within 50 metres","Daylight","Fine no high winds","Dry","None","None","Urban","Yes","Non-trunk","E01005260",2017-01-13 14:13:00
"201706A025903",2017,"06A025903",385096,396427,"-2.225957","53.464388","Greater Manchester","Slight",1,1,2017-01-18,"Wednesday",20:00:00,"Manchester","E08000003","E08000003","C","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","Single carriageway",30,"Crossroads","Auto traffic signal","A",NA,"None within 50 metres","Pedestrian phase at traffic signal junction","Darkness - lights lit","Fine no high winds","Dry","None","None","Urban","No","Non-trunk","E01005062",2017-01-18 20:00:00
"201706A025947",2017,"06A025947",385874,402765,"-2.214526","53.521378","Greater Manchester","Slight",2,1,2017-01-19,"Thursday",08:15:00,"Manchester","E08000003","E08000003","C","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","Single carriageway",30,"T or staggered junction","Auto traffic signal","A",NA,"None within 50 metres","Pedestrian phase at traffic signal junction","Daylight","Fine no high winds","Dry","None","None","Urban","No","Non-trunk","E01005140",2017-01-19 08:15:00
"201706A025958",2017,"06A025958",383840,400551,"-2.245088","53.501418","Greater Manchester","Slight",2,1,2017-01-23,"Monday",09:32:00,"Manchester","E08000003","E08000003","A",NA,"Single carriageway",30,"T or staggered junction","Auto traffic signal","B",NA,"None within 50 metres","Pedestrian phase at traffic signal junction","Daylight","Fine no high winds","Dry","None","None","Urban","No","Non-trunk","E01033675",2017-01-23 09:32:00
"201706A025966",2017,"06A025966",386239,403865,"-2.20907","53.531275","Greater Manchester","Serious",1,1,2017-01-14,"Saturday",23:39:00,"Manchester","E08000003","E08000003","A",NA,"Single carriageway",30,"Not at junction or within 20 metres","Data missing or out of range",NA,"Unknown","None within 50 metres","No physical crossing facilities within 50 metres","Darkness - lights lit","Raining no high winds","Wet or damp","None","None","Urban","Yes","Non-trunk","E01005136",2017-01-14 23:39:00
